# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.001        0.000      106.781     9809.395
       1.017        0.000      106.781     9809.395
       2.034        0.100      121.910    14010.672
       3.055        0.400      119.918    14030.074
       4.072        0.300      107.008     9810.047
       5.094        0.300      109.402     9810.547
       6.108        0.400      111.852     9811.004
       7.123        0.300      127.371    14030.281
       8.142        0.300      130.863    14012.781
       9.161        0.300      130.523    14023.160
      10.182        0.300      116.355     9811.633
      11.197        0.300      117.699     9812.133
      12.211        0.300      118.156     9812.133
      13.224        0.300      130.559    14020.375
      14.242        0.300      124.250    14020.652
      15.263        0.300      125.465    14012.215
      16.283        0.300      128.633    14029.465
      17.302        0.300      129.586    14030.465
      18.323        0.400      115.176     9810.938
      19.335        0.300      115.336     9810.938
      20.348        0.300      115.988     9810.938
      21.360        0.300      116.273     9810.938
      22.378        0.300      117.195     9810.938
      23.391        0.300      117.164     9810.715
      24.403        0.400      133.062    14013.242
      25.423        0.300      118.152     9810.715
      26.442        0.300      119.074     9810.715
      27.465        0.300      131.223    14030.992
      28.493        0.300      135.156    14041.242
      29.517        0.300      135.488    14011.992
      30.536        0.300      139.762    14020.992
      31.557        0.400      140.180    14021.434
      32.577        0.400      141.090    14021.684
      33.595        0.300      143.035    14013.684
      34.616        0.300      146.188    14003.684
      35.637        0.300      146.988    14004.184
      36.657        0.300      132.426     9811.656
      37.676        0.900      147.492    14021.934
      38.699        0.300      133.645     9811.656
      39.714        0.300      134.281     9811.656
      40.727        0.400      134.137     9811.496
      41.738        0.300      149.527    14031.023
      42.761        0.300      149.000    14012.773
      43.783        0.300      135.586     9811.496
      44.795        0.300      145.086    14007.891
      45.819        0.300      150.605    14021.773
      46.840        0.300      151.266    14004.023
      47.857        0.300      151.527    14012.773
      48.879        0.400      151.289    14013.523
      49.899        0.500      152.160    14022.523
      50.918        0.300      152.223    14023.523
      51.938        0.300      152.172    14028.523
      52.957        0.400      152.305    14038.523
      53.984        0.300      137.719     9826.996
      55.000        0.300      138.000     9826.996
      56.016        0.400      138.547     9826.996
      57.033        0.400      141.457     9827.258
      58.046        0.300      144.449     9835.258
      59.061        0.300      162.738    14036.262
      60.081        0.300      150.801     9834.430
      61.101        0.300      168.379    14070.957
      62.118        0.700      154.281     9843.074
      63.133        0.300      155.633     9843.336
      64.146        0.300      168.445    14034.172
      65.166        1.000      171.750    14044.613
      66.185        0.300      175.570    14062.613
      67.209        0.300      179.480    14046.758
      68.225        0.300      180.809    14044.613
      69.243        0.300      182.090    14055.613
      70.265        0.200      168.078     9843.344
      71.283        0.000      168.078     9843.344
      72.300        0.000      168.078     9843.344
